Bigram                                                     Count                              P(Without Smoothing)                         P(Add-one Smoothing)                         
****************************************************************************************************************************************************************
('Richard', 'W.')                                               1                          0.06666666666666667                       0.00011921082434285033
('W.', 'Lock')                                                  1                                          1.0                       0.00011931038596909861
('Lock', ',')                                                   1                        0.0004940711462450593                       0.00010646225912913872
(',', 'retired')                                                3                           0.3333333333333333                       0.00023850694651481724
('retired', 'vice')                                             1                         0.017857142857142856                       0.00011892020454275182
('vice', 'president')                                           8                          0.08888888888888889                        0.0005340612390220745
('president', 'and')                                           42                           0.0620384047267356                        0.0024657377143184815
('and', 'treasurer')                                            2                           0.6666666666666666                        0.0001789442290486132
('treasurer', 'of')                                             1                        0.0010660980810234541                       0.00011299435028248587
('Owens-Illinois', 'Inc.')                                      1                           0.0196078431372549                       0.00011895557009456968
('Inc.', ',')                                                  30                         0.014822134387351778                        0.0016501650165016502
(',', 'was')                                                   49                                         0.28                        0.0029521166676507054
('was', 'named')                                               38                           0.6666666666666666                         0.002318806112135085
('named', 'a')                                                 10                          0.01718213058419244                        0.0006342250922509225
('a', 'director')                                              22                                          0.5                        0.0013685588480304653
('director', 'of')                                             20                         0.021321961620469083                        0.0011864406779661016
('of', 'this')                                                 53                           0.5824175824175825                         0.003204177297810479
('this', 'transportation')                                      2                                          0.4                        0.0001789228842368939
('industry', 'supplier')                                        1                                          1.0                       0.00011931038596909861
('supplier', ',')                                               1                        0.0004940711462450593                       0.00010646225912913872
(',', 'increasing')                                            11                           0.7857142857142857                         0.000715307582260372
('increasing', 'its')                                           3                         0.023255813953488372                       0.00023681250370019536
('its', 'board')                                               33                          0.09016393442622951                        0.0019850537132181222
('board', 'to')                                                19                         0.029275808936825885                        0.0011486990982712078
('to', 'six')                                                   5                           0.5555555555555556                       0.00035776041977222587
('six', 'members')                                              2                                         0.05                       0.00017855017259850017
('members', '.')                                               16                         0.016016016016016016                        0.0009571533134395586
('.', 'John')                                                   8                          0.18604651162790697                        0.0005355548943766736
('J.', 'Phelan')                                                1                           0.3333333333333333                       0.00011929615269907546
('Phelan', 'Jr.')                                               1                          0.03571428571428571                       0.00011911852293031566
('Jr.', ',')                                                   27                           0.0133399209486166                         0.001490471627807942
(',', 'chairman')                                             163                          0.29422382671480146                         0.009471009471009472
('chairman', 'of')                                            212                           0.2260127931769723                         0.012033898305084745
('of', 'the')                                                 254                          0.17762237762237762                         0.014017150395778364
('the', 'Big')                                                  4                           0.6666666666666666                       0.00029818702290076337
('Big', 'Board')                                                5                           0.2777777777777778                        0.0003575685339690107
('Board', ',')                                                  3                        0.0014822134387351778                       0.00021292451825827744
(',', 'asserts')                                                1                                          1.0                       0.00011931038596909861
('asserts', 'that')                                             1                        0.0038910505836575876                       0.00011751571772724602
('that', '``')                                                  7                         0.028225806451612902                       0.00047031158142269255
('``', '1988')                                                  1                           0.3333333333333333                       0.00011929615269907546
('1988', 'and')                                                 1                        0.0014771048744460858                       0.00011468547508458054
('1989', 'have')                                                1                         0.017241379310344827                       0.00011890606420927467
('have', 'been')                                                7                          0.18421052631578946                        0.0004761904761904762
('been', 'two')                                                 1                          0.03333333333333333                       0.00011910433539780847
('two', 'of')                                                   1                        0.0010660980810234541                       0.00011299435028248587
('the', 'least')                                                2                           0.3333333333333333                       0.00017891221374045802
('least', 'volatile')                                           1                                          1.0                       0.00011931038596909861
('volatile', 'years')                                           1                                         0.02                       0.00011896264572924102
('years', 'in')                                                 1                         0.002785515320334262                       0.00011681560656503709
('in', 'the')                                                  87                          0.06083916083916084                         0.004837291116974494
('the', 'last')                                                 4                          0.12121212121212122                       0.00029770765108663293
('last', '30')                                                  1                           0.3333333333333333                       0.00011929615269907546
('30', 'or')                                                    1                         0.017857142857142856                       0.00011892020454275182
('or', '40')                                                    1                           0.3333333333333333                       0.00011929615269907546
('years', '.')                                                  6                         0.006006006006006006                       0.00039412195259275944
('.', "''")                                                    64                          0.26556016597510373                         0.003822854790331118
("''", 'In')                                                    4                          0.09090909090909091                       0.00029751279305010117
('In', 'January')                                               2                           0.3333333333333333                       0.00017891221374045802
('January', ',')                                                3                        0.0014822134387351778                       0.00021292451825827744
(',', 'American')                                               1                         0.045454545454545456                       0.00011916110581506196
('American', 'Medical')                                         2                                          1.0                       0.00017895490336435218
('Medical', 'brought')                                          1                                         0.25                       0.00011928903733746869
('brought', 'in')                                               1                         0.002785515320334262                       0.00011681560656503709
('in', 'a')                                                    23                          0.03951890034364261                        0.0013837638376383763
('a', 'new')                                                   20                          0.30303030303030304                        0.0012479201331114808
('new', 'chief')                                                3                         0.015789473684210527                       0.00023596035865974517
('executive', 'officer')                                      100                           0.7407407407407407                         0.005977392436527194
('officer', ',')                                               52                         0.025691699604743084                         0.002821249866922176
(',', 'Richard')                                                1                         0.047619047619047616                       0.00011916820592265983
('Richard', 'A.')                                               1                         0.047619047619047616                       0.00011916820592265983
('A.', 'Gilleland')                                             1                                          1.0                       0.00011931038596909861
('Gilleland', ',')                                              1                        0.0004940711462450593                       0.00010646225912913872
(',', '45')                                                     3                                          0.6                       0.00023856384564919185
('45', ',')                                                     1                        0.0004940711462450593                       0.00010646225912913872
(',', 'who')                                                   62                           0.6326530612244898                        0.0037366548042704626
('who', 'will')                                                 8                          0.07017543859649122                         0.000533301730267836
('will', 'remain')                                             13                           0.5652173913043478                        0.0008340780458742926
('remain', 'as')                                                1                         0.006666666666666667                       0.00011825922421948912
('chairman', ',')                                              88                         0.043478260869565216                         0.004737570531246673
(',', 'president')                                             30                           0.3333333333333333                         0.001839544267742701
('and', 'chief')                                              140                           0.7368421052631579                         0.008317602642756017
('chief', 'executive')                                        141                            0.746031746031746                         0.008377086897528169
('executive', '.')                                              8                         0.008008008008008008                        0.0005067282247621192
('.', 'Ralph')                                                  1                                         0.25                       0.00011928903733746869
('Ralph', 'T.')                                                 1                                          0.1                       0.00011924636298592893
('T.', 'Linsley')                                               1                                          1.0                       0.00011931038596909861
('Linsley', ',')                                                1                        0.0004940711462450593                       0.00010646225912913872
(',', 'vice')                                                  15                          0.26785714285714285                        0.0009513616363420145
('of', 'Eagle')                                                 1                                          0.5                       0.00011930326890956812
('Eagle', ',')                                                  2                        0.0009881422924901185                       0.00015969338869370808
(',', 'will')                                                  19                          0.16666666666666666                        0.0011851149561507466
('will', 'become')                                              6                           0.5454545454545454                       0.00041733738746795447
('become', 'vice')                                              3                          0.05357142857142857                       0.00023784040908550363
('vice', 'chairman')                                           37                          0.06678700361010831                        0.0021945021945021944
('of', 'Webster\\/Eagle')                                       1                                          0.5                       0.00011930326890956812
('Webster\\/Eagle', '.')                                        2                         0.002002002002002002                       0.00016890940825403975
('Orkem', 'declined')                                           1                                          0.2                       0.00011928192282459593
('declined', 'to')                                              3                         0.004622496147919877                       0.00022973981965424158
('to', 'give')                                                  7                           0.5833333333333334                        0.0004769285799451532
('give', 'details')                                             1                                          0.5                       0.00011930326890956812
('details', 'of')                                               1                        0.0010660980810234541                       0.00011299435028248587
('of', 'its')                                                  26                          0.20155038759689922                        0.0015984843999763188
('its', 'offer')                                                4                          0.13333333333333333                        0.0002977608384945212
('offer', ',')                                                  2                        0.0009881422924901185                       0.00015969338869370808
(',', 'saying')                                                 4                                          0.4                        0.0002981159074648223
('saying', 'only')                                              1                                       0.0625                       0.00011920371915603766
('only', 'that')                                                1                        0.0038910505836575876                       0.00011751571772724602
('that', 'the')                                                51                          0.03566433566433566                        0.0028583992963940193
('the', 'bid')                                                  2                          0.06896551724137931                       0.00017866714311238162
('will', 'be')                                                 23                          0.21296296296296297                        0.0014226437462951985
('be', 'submitted')                                             1                                          1.0                       0.00011931038596909861
('submitted', 'for')                                            1                          0.00641025641025641                       0.00011821728336682824
('for', 'approval')                                             1                          0.16666666666666666                       0.00011927480916030534
('approval', 'by')                                              2                         0.014814814814814815                       0.00017754630999585724
('by', 'the')                                                  40                         0.027972027972027972                        0.0022537379067722077
('the', 'board')                                              133                           0.3633879781420765                         0.007823446987389071
('board', 'of')                                                25                         0.026652452025586353                        0.0014689265536723163
('the', 'British')                                              4                           0.2857142857142857                       0.00029804482594182163
('British', 'company')                                          1                         0.006802721088435374                        0.0001182802058075581
('company', '.')                                               22                         0.022022022022022022                         0.001294972129947638
('But', 'in')                                                   1                         0.002785515320334262                       0.00011681560656503709
('in', '1935')                                                  1                                          1.0                       0.00011931038596909861
('1935', ',')                                                   1                        0.0004940711462450593                       0.00010646225912913872
(',', 'when')                                                  11                          0.39285714285714285                        0.0007147111375818939
